prod_ai,group,target_role,pt,a,b,c,d,expected,n_drug,n_event,N,prr,ror,ror_ci_lower,ror_ci_upper,chi2,pval,pval_adj,fdr_sig,ebgm,eb05,eb95,ic,ic025,criteria_met,is_signal,signal_strength
tirzepatide,trending,study,NECK PAIN,57,28184,4147,1376899,84.24484437875323,28241,4204,1409287,0.6779,0.6773,0.5219,0.8789,8.6901,0.00319940219037244,0.00582319623741282,True,0.6764,0.5414,0.8367,-0.5596,-0.9341,0,False,None
tirzepatide,trending,study,NECROTISING FASCIITIS,4,28237,242,1380804,4.9296459841040186,28241,246,1409287,0.9074,0.9074,0.3571,2.3058,0.0382,0.8450051714983529,0.9079127534674173,False,0.8082,0.3368,1.6983,-0.2709,-1.6848,0,False,None
tirzepatide,trending,study,NEEDLE ISSUE,3,28238,3834,1377212,76.89045382523219,28241,3837,1409287,0.0446,0.0445,0.0156,0.127,71.6774,2.534222037117248e-17,1.0135513841507431e-16,True,0.0397,0.0144,0.0922,-4.4667,-6.0993,0,False,None
tirzepatide,trending,study,NEOPLASM,3,28238,953,1380093,19.157486019526186,28241,956,1409287,0.1795,0.1794,0.0628,0.5125,13.0675,0.00030046849738048085,0.0006173436880292649,True,0.159,0.0576,0.3689,-2.4897,-4.1222,0,False,None
tirzepatide,trending,study,NEOPLASM MALIGNANT,17,28224,5667,1375379,113.90287712864732,28241,5684,1409287,0.151,0.1505,0.0941,0.2406,83.5972,6.065877438321229e-20,2.617662147900472e-19,True,0.1496,0.0989,0.2189,-2.7087,-3.3945,0,False,None
tirzepatide,trending,study,NEPHROLITHIASIS,36,28205,4002,1377044,80.9183353000489,28241,4038,1409287,0.4459,0.4452,0.3213,0.6169,24.9526,5.875850895529094e-07,1.4927454479685522e-06,True,0.445,0.3358,0.5805,-1.1575,-1.6287,0,False,None
tirzepatide,trending,study,NERVE COMPRESSION,6,28235,710,1380336,14.348075303327143,28241,716,1409287,0.4474,0.4472,0.2066,0.9682,4.3827,0.03630481280034033,0.05633242045077003,False,0.4193,0.2062,0.7787,-1.1918,-2.3462,0,False,None
tirzepatide,trending,study,NERVE INJURY,5,28236,681,1380365,13.746898963802263,28241,686,1409287,0.3946,0.3945,0.1705,0.9131,5.051,0.024611400777125716,0.039321724595169444,True,0.3653,0.1675,0.7155,-1.3731,-2.6377,0,False,None
tirzepatide,trending,study,NERVOUS SYSTEM DISORDER,7,28234,1333,1379713,26.852543165444654,28241,1340,1409287,0.275,0.2748,0.1341,0.5634,14.2461,0.00016039529979526047,0.0003383141244072776,True,0.2618,0.1359,0.4661,-1.8667,-2.9355,0,False,None
tirzepatide,trending,study,NERVOUSNESS,28,28213,2481,1378565,50.27838119559749,28241,2509,1409287,0.5616,0.5612,0.3878,0.812,9.6435,0.0019002189392692775,0.003553725035402795,True,0.5569,0.4043,0.7518,-0.8333,-1.3676,0,False,None
